,all,new_cnpq_level_1a,new_cnpq_level_2a,new_cnpq_level_3a,predicted_new_cnpq_level_1a,predicted_new_cnpq_level_2a,predicted_new_cnpq_level_3a
38,"Socioeconomic Inequalities in the Quality of Primary Care under Brazil?s National Pay-forperformance Programme: a Longitudinal Study of Family Health Teams Background Many governments have introduced pay-for-performance programmes to incentivise health providers to improve quality of care. Evidence on whether these programmes reduce or exacerbate disparities in health care is scarce. In this study, we aimed to assess socioeconomic inequalities in the performance of family health teams under Brazil's National Programme for Improving Primary Care Access and Quality (PMAQ). Methods For this longitudinal study, we analysed data on the quality of care delivered by family health teams participating in PMAQ over three rounds of implementation: round 1 (November, 2011, to March, 2013), round 2 (April, 2013, to September, 2015), and round 3 (October, 2015, to December, 2019). The primary outcome was the percentage of the maximum performance score obtainable by family health teams (the PMAQ score), based on several hundred (ranging from 598 to 914) indicators of health-care delivery. Using census data on household income of local areas, we examined the PMAQ score by income ventile. We used ordinary least squares regressions to examine the association between PMAQ scores and the income of each local area across implementation rounds, and we did an analysis of variance to assess geographical variation in PMAQ score. Findings Of the 40 361 family health teams that were registered as ever participating in PMAQ, we included 13 934 teams that participated in the three rounds of PMAQ in our analysis. These teams were located in 11 472 census areas and served approximately 48 million people. The mean PMAQ score was 61.0% (median 61.8, IQR 55.3-67.9) in round 1, 55.3% (median 56.0, IQR 47.6-63.4) in round 2, and 61.6% (median 62.7, IQR 54.4-69.9) in round 3. In round 1, we observed a positive socioeconomic gradient, with the mean PMAQ score ranging from 56.6% in the poorest group to 64.1% in the richest group. Between rounds 1 and 3, mean PMAQ performance increased by 7.1 percentage points for the poorest group and decreased by 0.8 percentage points for the richest group (p<0.0001), with the gap between richest and poorest narrowing from 7.5 percentage points (95% CI 6.5 to 8.5) to -0.4 percentage points over the same period (-1.6 to 0.8). Interpretation Existing income inequalities in the delivery of primary health care were eliminated during the three rounds of PMAQ, plausibly due to a design feature of PMAQ that adjusted financial payments for socioeconomic inequalities. However, there remains an important policy agenda in Brazil to address the large inequities in health. Copyright (C) 2020 The Author(s). Published by Elsevier Ltd. Pay-for-performance,Socio-economic inequalities,Primary Health Care,Brazil The Lancet Global Health",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências Sociais Aplicadas,Economia,Economia
39,"Entomological Surveillance of Aedes Mosquitoes: Comparison of Different Collection Methods in an Endemic Area in RIO de Janeiro, Brazil Using collection methods for Aedes adults as surveillance tools provides reliable indices and arbovirus detection possibilities. This study compared the effectiveness of different methods for collecting Ae. aegypti and Ae. albopictus and detecting arboviruses circulating in field-caught female specimens. Collection sites were defined in urban, peri-urban, and rural landscapes in two Brazilian cities. Collections were performed using Adultraps (ADT), BG-Sentinel (BGS), CDC-like traps (CDC), and indoor (ASP-I) and outdoor (ASP-O) aspiration during the rainy and dry seasons of 2015 and 2016. Generalized linear mixed models were used to model the effectiveness of each collection method. A total of 434 Ae. aegypti and 393 Ae. albopictus were collected. In total, 64 Ae. aegypti and sixteen Ae. albopictus female pools were tested for DENV, CHIKV, ZIKV, or YFV; none were positive. Positivity and density were linear at low densities (<1 specimen); thereafter, the relationship became non-linear. For Ae. aegypti, ADT and CDC were less effective, and ASP-I and ASP-O were as effective as BGS. For Ae. albopictus, all collection methods were less effective than BGS. This study highlights the need for an integrated surveillance method as an effective tool for monitoring Aedes vectors. mosquito vectors,Aedes,entomological surveillance,trap comparison,adultrap,BG-Sentinel,CDC light trap,backpack aspiration TROPICAL MEDICINE AND INFECTIOUS DISEASE",Ciências Biológicas,Ecologia,Ecologia Aplicada,Ciências Biológicas,Zoologia,Zoologia Aplicada
40,"Early mortality in a cohort of people living with HIV in Rio de Janeiro, Brazil, 2004-2015: a persisting problem Background Global mortality from AIDS-related diseases has been declining since 2005, resulting primarily from the widespread use and early initiation of combination antiretroviral therapy. Despite the significant improvements, high rates of early mortality, usually defined as that occurring within the 1st year of entry to care, have been observed, especially in resource-limited settings. This analysis draws upon data from an observational cohort of people with HIV (PWH) followed at a reference center for HIV/AIDS care and research in the city of Rio de Janeiro, Brazil, to identify the pattern and factors associated with early mortality. Methods The study population includes PWH aged 18 or older followed at the National Institute of Infectious Diseases Evandro Chagas who were enrolled between 2004 and 2015. The primary outcome was early mortality, defined as deaths occurring within 1 year of inclusion in the cohort, considering two follow-up periods: 0 to 90 days (very early mortality) and 91 to 365 days (early mortality). Cox proportional hazards models were used to identify the variables associated with the hazard of very early and early mortality. Results Overall, 3879 participants contributed with 3616.4 person-years of follow-up. Of 220 deaths, 132 happened in the first 90 days and 88 between 91 and 365 days. Very early mortality rate ratios (MRR) show no statistically significant temporal differences between the periods 2004-2006 to 2013-2015. In contrast, for early mortality, a statistically significant decreasing trend was observed: mortality rates in the periods 2004-2006 (MR = 5.5; 95% CI 3.9-7.8) and 2007-2009 (MR = 3.9; 95% CI 2.7-5.7) were approximately four and three-fold higher when compared to 2013-2015 (MR = 1.4; 95% CI 0.7-2.7). Low CD4 count and prior AIDS-defining illness were strongly associated with higher hazard ratios of death, especially when considering very early mortality. Conclusions The present study shows an excess of mortality in the 1st year of follow-up with no changes in the mortality rates within 90 days among PWH from Rio de Janeiro. We note the significant impact of initiating treatment with immunosuppression, as evidenced by the increased risk of death among those with low CD4 cell count and with AIDS-defining illnesses. HIV,Acquired immunodeficiency syndrome,Survival analysis,Mortality,Risk factors,Cohort studies Bmc Infectious Diseases",Ciências da Saúde,Medicina,Clínica Médica,Ciências da Saúde,Saúde Coletiva,Epidemiologia
41,"Generation of human iPS cell line CBTCi001-A from dermal fibroblasts obtained from a healthy donor Moniz,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Carlos Chagas Institute,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Carlos Chagas Institute,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center,Fiocruz/Gonçalo Moniz Research Center",Ciências da Saúde,Medicina,Clínica Médica,Ciências Biológicas,Genética,Genética Humana e Médica
42,"Synthesis and trypanocidal activity of novel 2,4,5-triaryl-N- hydroxylimidazole derivatives Herein, we report the design, synthesis and trypanocidal activity of some novel trisubstituted imidazole derivatives. These heterocyclic derivatives were structurally planned by exploring the concept of molecular hybridisation between two arylhydrazones derived from megazol, which has potent trypanocidal activity. The trypanocidal activity of these triarylimidazole derivatives was evaluated against infective trypomastigote forms of T. cruzi and the derivative 2'-(4-bromophenyl)-1-methyl-5'-phenyl-1H,3'H-2,4'-biimidazol- 3'-ol showed moderate biological activity (IC50 = 23.9 μM) when compared to benznidazole, a standard trypanocidal drug. These compounds did not present cytotoxic effects at concentrations near the trypanocidal IC50, being considered a good starting point for the development of new anti-Chagas drug candidates. 2,4,5-triaryl-N-hydroxyimidazole; Chagas disease; Trypanocidal activity; Trypanosoma cruzi Molecules",Ciências Exatas e da Terra,Química,Química Orgânica,Ciências da Saúde,Farmácia,Análise e Controle e Medicamentos
43,"Different profiles and epidemiological scenarios: past, present and future The multiplicity of epidemiological scenarios shown by Chagas Disease, derived from multiple transmission routes of the aetiological agent, occurring on multiple geo-ecobiosocial settings determines the complexity of the disease and reveal the difficulties for its control. From the first description of the link between the parasite, the vector and its domestic habitat and the disease that Carlos Chagas made in 1909, the epidemiological scenarios of the American Trypanosomiasis has shown a dynamic increasing complexity. These scenarios changed with time and geography because of new understandings of the disease from multiple studies, because of policies change at the national and international levels and because human movements brought the parasite and vectors to new geographies. Paradigms that seemed solid at a time were broken down, and we learnt about the global dispersion of Trypanosoma cruzi infection, the multiplicity of transmission routes, that the infection can be cured, and that triatomines are not only a health threat in Latin America. We consider the multiple epidemiological scenarios through the different T. cruzi transmission routes, with or without the participation of a Triatominae vector. We then consider the scenario of regions with vectors without the parasite, to finish with the consideration of future prospects.; The multiplicity of epidemiological scenarios shown by Chagas Disease, derived from multiple transmission routes of the aetiological agent, occurring on multiple geo-ecobiosocial settings determines the complexity of the disease and reveal the difficulties for its control. From the first description of the link between the parasite, the vector and its domestic habitat and the disease that Carlos Chagas made in 1909, the epidemiological scenarios of the American Trypanosomiasis has shown a dynamic increasing complexity. These scenarios changed with time and geography because of new understandings of the disease from multiple studies, because of policies change at the national and international levels and because human movements brought the parasite and vectors to new geographies. Paradigms that seemed solid at a time were broken down, and we learnt about the global dispersion of Trypanosoma cruzi infection, the multiplicity of transmission routes, that the infection can be cured, and that triatomines are not only a health threat in Latin America. We consider the multiple epidemiological scenarios through the different T. cruzi transmission routes, with or without the participation of a Triatominae vector. We then consider the scenario of regions with vectors without the parasite, to finish with the consideration of future prospects. © 2021, Fundacao Oswaldo Cruz. All rights reserved. TRIATOMA-INFESTANS HEMIPTERAHUMAN CHAGAS-DISEASERISK BLOOD-DONORSTRYPANOSOMA-CRUZICONGENITAL CHAGASHOUSE INFESTATIONTRANSMISSIONREDUVIIDAEVECTORPOPULATIONS; Chagas disease-epidemiological scenarios-global health MEMORIAS DO INSTITUTO OSWALDO CRUZ; MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",Ciências da Saúde,Saúde Coletiva,Epidemiologia,Ciências da Saúde,Saúde Coletiva,Epidemiologia
44,"The effect of Ageratum fastigiatum extract on Rhodnius nasutus, vector of Chagas disease Control of Chagas disease is based on insecticide spraying in domiciles in order to exterminate triatomine populations. However, since the vectors differ in susceptibility to currently used insecticides, the screening of the toxic potential of Brazilian flora may identify new molecules lethal to triatomines. This study evaluated the toxicity of ethanolic extract of Ageratum fastigiatum (Gardner) R.M. King & H. Rob., Asteraceae, on Rhodnius nasutus, a known vector of Chagas disease. Ethanolic extracts of the aerial parts of A. fastigiatum were prepared at 25 and 50 mg/mL concentrations, and 5 mu L was applied to fifth-instar nymphs of R. nasutus (n=30). Controls included nymphs that were treated with 5 mu L ethanol (n=30) or left untreated (n=30). The percentage of dead insects in each group was observed at 24, 48, 72, 96 and 120 h after application. The extracts of A. fastigiatum showed a mortality rate of about 37% and 77% after 120 h, at concentrations of 25 and 50 mg/mL, respectively. In control groups, the mortality rate remained under 7%. The extract of A. fastigiatum contains a coumarin, a molecule with recognized toxicity in insects, and which may be responsible for killing the triatomines; Control of Chagas disease is based on insecticide spraying in domiciles in order to exterminate triatomine populations. However, since the vectors differ in susceptibility to currently used insecticides, the screening of the toxic potential of Brazilian flora may identify new molecules lethal to triatomines. This study evaluated the toxicity of ethanolic extract of Ageratum fastigiatum (Gardner) R.M. King & H. Rob., Asteraceae, on Rhodnius nasutus, a known vector of Chagas disease. Ethanolic extracts of the aerial parts of A. fastigiatum were prepared at 25 and 50 mg/mL concentrations, and 5 mu L was applied to fifth-instar nymphs of R. nasutus (n=30). Controls included nymphs that were treated with 5 mu L ethanol (n=30) or left untreated (n=30). The percentage of dead insects in each group was observed at 24, 48, 72, 96 and 120 h after application. The extracts of A. fastigiatum showed a mortality rate of about 37% and 77% after 120 h, at concentrations of 25 and 50 mg/mL, respectively. In control groups, the mortality rate remained under 7%. The extract of A. fastigiatum contains a coumarin, a molecule with recognized toxicity in insects, and which may be responsible for killing the triatomines. AGERATUM FASTIGIATUMINSECTICIDAL ACTIVITYTRIATOMINAE; Ageratum fastigiatum,insecticidal activity,Triatominae Brazilian Journal of Pharmacognosy; REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY",Ciências Biológicas,Botânica,Botânica Aplicada,Ciências Biológicas,Farmacologia,Toxicologia
45,"Chitinosanase: A fungal chitosan hydrolyzing enzyme with a new and unusually specific cleavage pattern The biological activities of partially acetylated chitosan oligosaccharides (paCOS) depend on their degree of polymerization (DP), fraction of acetylation (F-A), and potentially their pattern of acetylation (P-A). Therefore, analyzing structure-function relationships require fully defined paCOS, but these are currently unavailable. A promising approach for obtaining at least partially defined paCOS is using chitosanolytic enzymes. Here we purified and characterized a novel chitosan-hydrolyzing enzyme from the fungus Alternaria alternata possessing an absolute cleavage specificity, yielding fully defined paCOS. It cleaves specifically after GlcN-GlcNAc pairs and is most active towards moderately acetylated chitosans, but shows no activity against fully acetylated or fully deacetylated substrates. These unique properties match neither those of chitinases nor chitosanases. Therefore, the enzyme represents the first member of a new class of chitosanolytic enzymes that will allow for the production of fully defined paCOS. Additionally, it represents a highly valuable tool for fingerprinting analyses of chitosan polymers. (C) 2017 Elsevier Ltd. All rights reserved. CHITOSANCHITOSAN HYDROLASESUBSTRATE SPECIFICITYENZYMATIC FINGERPRINTINGMASS SPECTROMETRY; Chitosan,Chitosan hydrolase,Substrate specificity,Enzymatic fingerprinting,Mass spectrometry CARBOHYDRATE POLYMERS",Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Ciências Biológicas,Bioquímica,Bioquímica dos Microorganismos
46,"Hormonal and Psychogenic Risk Factors for Erectile Dysfunction in Men with HTLV-1 Introduction: Erectile dysfunction (ED) is associated with neurological damage due to human T-lymphotropic virus 1 (HTLV-1) infection, but hormonal and psychogenic factors also cause ED. Aim: To evaluate the association of psychogenic and hormonal factors with ED in men infected with HTLV-1. Methods: In this cross-sectional study, we compared total testosterone, follicle stimulating hormone, luteinizing hormone, prolactin, anxiety symptoms, depressive symptoms, and neurologic manifestations in HTLV-1-infected men with or without ED. The International Index of Erectile Function was used to determine the degree of ED. Participants were grouped according to Osame's Motor Disability Scale and the Expanded Disability Status Scale: HTLV-1-associated myelopathy or tropical spastic paraparesis (HAM/TSP), probable HAM/TSP, or HTLV-1 carrier. Chi-square and Fisher's exact tests were used to compare the groups, and regression analyses were used to show predictors of ED. Main Outcome Measure: Sexual hormonal levels, psychogenic factors, and neurologic disabilities were found to be associated with ED. Results: ED was associated with age older than 60 years (P < .001), degree of neurologic involvement (P < .001), depression (P = .009), and anxiety (P = .008). In the multivariate analyses, only age and degree of neurological injury remained as risk factors for ED. Clinical Implications: Neurological manifestations are a stronger predictor of ED than hormonal and psychogenic factors in HTLV-1-infected men. Strengths & Limitations: The statistical power of the study was limited due to the low number of participants, but neurologic manifestations were clearly associated with ED. There was no strong association between hormonal and psychogenic factors and ED. Conclusion: Hormonal and psychogenic factors did not show a strong association with ED in individuals with HTLV-1, but neurological manifestations were strongly associated with ED in these individuals. Copyright (C) 2019, International Society for Sexual Medicine. Published by Elsevier Inc. All rights reserved. Erectile Dysfunction,Human T-Lymphotropic Virus 1,Neurologic Disease,Anxiety,Depression,Testosterone JOURNAL OF SEXUAL MEDICINE",Ciências da Saúde,Medicina,Clínica Médica,Ciências da Saúde,Medicina,Psiquiatria
47,"Studies on Activities and Chemical Characterization of Medicinal Plants in Search for New Antimalarials: A Ten Year Review on Ethnopharmacology Malaria is an endemic disease that affected 229 million people and caused 409 thousand deaths, in 2019. Disease control is based on early diagnosis and specific treatment with antimalarial drugs since no effective vaccines are commercially available to prevent the disease. Drug chemotherapy has a strong historical link to the use of traditional plant infusions and other natural products in various cultures. The research based on such knowledge has yielded two drugs in medicine: the alkaloid quinine from Cinchona species, native in the Amazon highland rain forest in South America, and artemisinin from Artemisia annua, a species from the millenary Chinese medicine. The artemisinin-based combination therapies (ACTs), proven to be highly effective against malaria parasites, and considered as the last bullet to fight drug-resistant malaria parasites, have limited use now due to the emergence of multidrug resistance. In addition, the limited number of therapeutic options makes urgent the development of new antimalarial drugs. This review focuses on the antimalarial activities of 90 plant species obtained from a search using Pubmed database with keywords antimalarials, plants and natural products. We selected only papers published in the last 10 years (2011-2020), with a further analysis of those which were tested experimentally in malaria infected mice. Most plant species studied were from the African continent, followed by Asia and South America; their antimalarial activities were evaluated against asexual blood parasites, and only one species was evaluated for transmission blocking activity. Only a few compounds isolated from these plants were active and had their mechanisms of action delineated, thereby limiting the contribution of these medicinal plants as sources of novel antimalarial pharmacophores, which are highly necessary for the development of effective drugs. Nevertheless, the search for bioactive compounds remains as a promising strategy for the development of new antimalarials and the validation of traditional treatments against malaria. One species native in South America, Ampelozyzyphus amazonicus, and is largely used against human malaria in Brazil has a prophylactic effect, interfering with the viability of sporozoites in in vitro and in vivo experiments.</p>; Malaria is an endemic disease that affected 229 million people and caused 409 thousand deaths, in 2019. Disease control is based on early diagnosis and specific treatment with antimalarial drugs since no effective vaccines are commercially available to prevent the disease. Drug chemotherapy has a strong historical link to the use of traditional plant infusions and other natural products in various cultures. The research based on such knowledge has yielded two drugs in medicine: the alkaloid quinine from Cinchona species, native in the Amazon highland rain forest in South America, and artemisinin from Artemisia annua, a species from the millenary Chinese medicine. The artemisinin-based combination therapies (ACTs), proven to be highly effective against malaria parasites, and considered as the last bullet to fight drug-resistant malaria parasites, have limited use now due to the emergence of multidrug resistance. In addition, the limited number of therapeutic options makes urgent the development of new antimalarial drugs. This review focuses on the antimalarial activities of 90 plant species obtained from a search using Pubmed database with keywords antimalarials, plants and natural products. We selected only papers published in the last 10 years (2011-2020), with a further analysis of those which were tested experimentally in malaria infected mice. Most plant species studied were from the African continent, followed by Asia and South America; their antimalarial activities were evaluated against asexual blood parasites, and only one species was evaluated for transmission blocking activity. Only a few compounds isolated from these plants were active and had their mechanisms of action delineated, thereby limiting the contribution of these medicinal plants as sources of novel antimalarial pharmacophores, which are highly necessary for the development of effective drugs. Nevertheless, the search for bioactive compounds remains as a promising strategy for the development of new antimalarials and the validation of traditional treatments against malaria. One species native in South America, Ampelozyzyphus amazonicus, and is largely used against human malaria in Brazil has a prophylactic effect, interfering with the viability of sporozoites in in vitro and in vivo experiments.</p> MALARIA, ANTIMALARIALS, MEDICINAL PLANTS, NATURAL PRODUCTS, IN VIVO TESTS, ETHNOPHARMACOLOGY; malaria,antimalarials,medicinal plants,natural products,in vivo tests,ethnopharmacology FRONTIERS IN PHARMACOLOGY",Ciências Biológicas,Farmacologia,Etnofarmacologia,Ciências Biológicas,Farmacologia,Etnofarmacologia
48,"Toxicity and phytochemistry of eight species used in the traditional medicine of Mato Grosso do Sul, Brazil. The Brazilian Cerrado has several botanical species with medicinal purposes used by traditional communities and many of these plants are not included in the list of the Medicinal Plant Research Program of the Central de Medicamentos. The aim of this study was the phytochemical screening and toxicological bioassay against Brine shrimp L. of ethanolic extracts of eight plant species used in folk medicine of Campo Grande, Mato Grosso do Sul. The ethanolic extracts were subjected to phytochemical screening, determination of phenolic compounds and flavonoids. Toxicological assays were performed against Brine shrimp according to standard methodology. Thin layer chromatography and HPLC-DAD analysis confirmed the predominance of phenolic compounds and derivatives, specifically for quercetin. The most toxic was C. affinis DC. with death in all concentrations, A. humile A. St. Hil. did not present mortality and the other species presented intermediate toxicity. The extracts of the investigated species are rich in phenolic compounds and derivatives, specifically quercetin, and present moderate to high toxicity, a fact that requires attention, since most traditional communities rely on phytotherapeutics in their raw form for preventive and curative purposes, meeting basic health care. ethnopharmacology; Brazilian Cerrado; traditional communities; toxic plants; brine shrimp; secondary metabolites Braz. J. Biol.",Ciências Biológicas,Botânica,,Ciências Biológicas,Farmacologia,Etnofarmacologia
49,"Eumycetoma by Madurella mycetomatis with 30 years of evolution: therapeutic challenge We report a case of eumycetoma by Madurella mycetomatis on the buttocks and thighs in an adult immunocompetent patient, diagnosed after 30 years of clinical development. He was treated over four years with fluconazol and itraconazol associated with five times surgical excisions of subcutaneous nodules. At the eighth year of follow-up, one nodule recurred on the right infragluteal region, which was excised surgically and has remained asymptomatic ever since. Fluconazole,Itraconazole,Mycetoma Anais brasileiros de dermatologia",Ciências da Saúde,Medicina,Clínica Médica,Ciências da Saúde,Medicina,Cirurgia
50,"Absence of CCR5 increases neutrophil recruitment in severe herpetic encephalitis Background: The neuroinflammatory response aimed at clearance of herpes simplex virus-1 (HSV-1) plays a key role in the pathogenesis of neuroaxonal damage in herpetic encephalitis. Leukocytes activated in an adaptive immune response access brain tissue by passing through the blood-brain barrier. The chemokine CCL5/RANTES is involved in recruitment of these cells to the brain acting via the receptors CCR1, CCR3 and mainly CCR5. Here, we evaluated the role of CCR5 on traffic of leukocytes in the brain microvasculature, cellular and cytokines profile in a severe form of herpetic encephalitis. Results: Wild type and mice lacking CCR5 (CCR5(-/-)) were inoculated intracerebrally with 10(4) PFU of neurotropic HSV-1. We evaluated the traffic of leukocytes in the brain microvasculature using intravital microscopy and the profile of cytokines by Enzyme-Linked Immunosorbent Assay at 1 day post infection. Flow cytometry and histopathological analyses were also carried out in brain tissue. Absence of CCR5 leads to lower viral load and an increased leukocyte adhesion in brain microvasculature, predominantly of neutrophils (CD11(+) Ly6G(+) cells). Moreover, there was a significant increase in the levels of MIP-1/CCL2, RANTES/CCL5, KC/CXCL1 and MIG/CXCL9 in the brain of infected CCR5(-/-) mice. Conclusions: These results suggest that the absence of CCR5 may boost the immune response with a high neutrophil recruitment which most likely helps in viral clearance. Nonetheless, the elevated immune response may be detrimental to the host; Background: The neuroinflammatory response aimed at clearance of herpes simplex virus-1 (HSV-1) plays a key role in the pathogenesis of neuroaxonal damage in herpetic encephalitis. Leukocytes activated in an adaptive immune response access brain tissue by passing through the blood-brain barrier. The chemokine CCL5/RANTES is involved in recruitment of these cells to the brain acting via the receptors CCR1, CCR3 and mainly CCR5. Here, we evaluated the role of CCR5 on traffic of leukocytes in the brain microvasculature, cellular and cytokines profile in a severe form of herpetic encephalitis. Results: Wild type and mice lacking CCR5 (CCR5(-/-)) were inoculated intracerebrally with 10(4) PFU of neurotropic HSV-1. We evaluated the traffic of leukocytes in the brain microvasculature using intravital microscopy and the profile of cytokines by Enzyme-Linked Immunosorbent Assay at 1 day post infection. Flow cytometry and histopathological analyses were also carried out in brain tissue. Absence of CCR5 leads to lower viral load and an increased leukocyte adhesion in brain microvasculature, predominantly of neutrophils (CD11(+) Ly6G(+) cells). Moreover, there was a significant increase in the levels of MIP-1/CCL2, RANTES/CCL5, KC/CXCL1 and MIG/CXCL9 in the brain of infected CCR5(-/-) mice. Conclusions: These results suggest that the absence of CCR5 may boost the immune response with a high neutrophil recruitment which most likely helps in viral clearance. Nonetheless, the elevated immune response may be detrimental to the host. HERPES SIMPLEX VIRUS TYPE 1CCR5(-/-)NEUROINFLAMMATION; Herpes simplex virus type 1,CCR5(-/-),Neuroinflammation BMC NEUROSCIENCE",Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Ciências Biológicas,Imunologia,Imunogenética
51,"Interactions with apoptotic but not with necrotic neutrophils increase parasite burden in human macrophages infected with Leishmania amazonensis Neutrophils are involved in the initial steps of most responses to pathogens. In the present study, we evaluated the effects of the interaction of apoptotic vs. necrotic human neutrophils on macrophage infection by Leishmania amazonensis. Phagocytosis of apoptotic, but not viable, neutrophils by Leishmania-infected macrophages led to an increase in parasite burden via a mechanism dependent on TGF-beta 1 and PGE(2). Conversely, infected macrophages' uptake of necrotic neutrophils induced killing of L. amazonensis. Leishmanicidal activity was dependent on TNF-alpha and neutrophilic elastase. Nitric oxide was not involved in the killing of parasites, but the interaction of necrotic neutrophils with infected macrophages resulted in high superoxide production, a process reversed by catalase, an inhibitor of reactive oxygen intermediate production. Initial events after Leishmania infection involve interactions with neutrophils; we demonstrate that phagocytosis of these cells in an apoptotic or necrotic stage can influence the outcome of infection, driving either parasite survival or destruction. apoptosis,necrosis,phagocytosis,TGF-beta 1,NE Journal of Leukocyte Biology",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos
52,"A nurse from the Brazilian Expeditionary Force in the Second World War: the Virginia Portocarrero archive at Casa de Oswaldo Cruz/Fiocruz This study investigates the potential of the Virginia Portocarrero archive, at Casa de Oswaldo Cruz/Fiocruz. It was donated in life by Portocarrero, a Brazilian nurse and Second World War veteran. The documents include records from her education and training and show evidence ofa determination to preserve her memories from the frontline and after the war, in a symbolic battle to record an essentially female story in a characteristically male setting. The archive contains a broad variety of types of historical sources, notably a diary on her participation in the conflict, demonstrating everyday and unusual aspects of her work as a health professional at that drrunatic lime in human history. nursing,health,Brazil,Second World War,history História, Ciência, Saúde - Manguinhos",Ciências Sociais Aplicadas,Ciência da Informação,Arquivologia,Ciências Humanas,História,História da América
53,"The utility of anti-trypomastigote lytic antibodies for determining cure of Trypanosoma cruzi infections in treated patients: an overview and perspectives In previous work, we proposed alternative protocols for following patients with treated Chagas disease and these are reviewed herein. Evidence was provided to support the following: (i) functional anti-trypomastigote antibodies are indicative of ongoing chronic Trypanosoma cruzi infections; (ii) specific antibodies detected by conventional serology (CS) with epimastigote extracts, fixed trypomastigotes or other parasite antigens may circulate years after parasite elimination; (iii) functional antibodies are evidenced by complement-mediated lysis of freshly isolated trypomastigotes, a test which is 100% specific, highly sensitive, and the first to revert after T. cruzi elimination and (iv) the parasite target for the lytic antibodies is a glycoprotein of high molecular weight (gp160) anchored at the parasite surface. The complement regulatory protein has been cloned, sequenced and produced as a recombinant protein by other groups and is useful for identifying functional anti-T. cruzi antibodies in ELISA tests, thus dispensing with the need for live trypomastigotes to manage treated patients. If used instead of CS to define cures for Chagas patients, ELISA will avoid unnecessary delays in finding anti-T. cruzi drugs. Other highly sensitive techniques for parasite DNA detection, such as PCR, need to be standardized and included in future protocols for the management of patients with drug-treated Chagas disease; In previous work, we proposed alternative protocols for following patients with treated Chagas disease and these are reviewed herein. Evidence was provided to support the following: (i) functional anti-trypomastigote antibodies are indicative of ongoing chronic Trypanosoma cruzi infections; (ii) specific antibodies detected by conventional serology (CS) with epimastigote extracts, fixed trypomastigotes or other parasite antigens may circulate years after parasite elimination; (iii) functional antibodies are evidenced by complement-mediated lysis of freshly isolated trypomastigotes, a test which is 100% specific, highly sensitive, and the first to revert after T. cruzi elimination and (iv) the parasite target for the lytic antibodies is a glycoprotein of high molecular weight (gp160) anchored at the parasite surface. The complement regulatory protein has been cloned, sequenced and produced as a recombinant protein by other groups and is useful for identifying functional anti-T. cruzi antibodies in ELISA tests, thus dispensing with the need for live trypomastigotes to manage treated patients. If used instead of CS to define cures for Chagas patients, ELISA will avoid unnecessary delays in finding anti-T. cruzi drugs. Other highly sensitive techniques for parasite DNA detection, such as PCR, need to be standardized and included in future protocols for the management of patients with drug-treated Chagas disease. TRYPANOSOMA CRUZIDRUG TREATMENTCURELYTIC ANTIBODIESTRYPOMASTIGOTES; Cure, Drug treatment, Lytic antibodies, Trypanosoma cruzi, Trypomastigotes MEMORIAS DO INSTITUTO OSWALDO CRUZ; MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos
54,"Identification, preservation, valorization and dissemination of the cultural heritage of health It addresses some actions for the survey of health-related heritage that began in 2007. These actions were signed at the 4th Regional Coordination Meeting of the Virtual Health Library and the 7th Regional Congress on Information in Health Sciences (CRICS), which took place in 2005 in the city of Salvador, Bahia, where the WG History and Constitution of the Latin American Network of History and Cultural Heritage of Health met, led by the Ministry of Health of Brazil - Casa de Oswaldo Cruz-Fiocruz and the Ministry of Health of Chile - Unidade del Patrimonio Cultural de la Salud, which foresees as one of its results the development within the scope of the VHL-Bireme/PAHO network of a thematic Virtual Library of History and Cultural Heritage of Health. This event was a milestone in the discussion on history, memory and Health Heritage in Brazil, where 'Cultural Heritage of Health was considered as a set of socially constructed material and symbolic goods, which express the process of individual and collective Health in its scientific, historical and cultural dimensions'. Architecture of Health Institutions/history,History of Medicine,Public Health/history,Brazil Cultural Heritage Issues, 21",Ciências Sociais Aplicadas,Arquitetura e Urbanismo,,Ciências Humanas,História,História das Ciências
